"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.974058750E-1,1.067341495E-2,2.562942885E-2,-3.093177080E-3,2.793487345E-2
7.073878750E-1,1.267506190E-2,1.523206986E-2,1.472036541E-2,2.468526492E-2
7.173688750E-1,6.004199688E-3,4.159677238E-3,3.493126631E-3,8.096620423E-3
7.273508750E-1,9.123207300E-3,6.747184368E-4,-5.637300611E-3,1.074557186E-2
7.373318750E-1,5.474785703E-3,-1.143793954E-2,4.691221118E-3,1.352062480E-2
7.473138750E-1,2.968629103E-3,-5.511224591E-3,-1.416838825E-2,1.548966045E-2
7.572948750E-1,3.311618265E-3,1.307122218E-3,-7.431811094E-3,8.240582514E-3
7.672768750E-1,1.334106662E-2,-6.828227690E-3,-3.970259428E-4,1.499221069E-2
7.772588750E-1,1.490099869E-2,3.676436841E-4,-1.431807697E-2,2.066838774E-2
7.872398750E-1,7.230333402E-3,-7.958252365E-3,-2.000683308E-2,2.271309912E-2
7.972218750E-1,1.071804222E-2,-1.116725000E-2,-2.300002277E-2,2.772336468E-2
8.072028750E-1,1.526012965E-2,-6.186089208E-3,-8.629320860E-3,1.859043935E-2
8.171848750E-1,1.009512304E-2,3.513733498E-3,-1.341935992E-2,1.715625405E-2
8.271658750E-1,8.179372476E-3,1.338586634E-2,-4.006395221E-2,4.302561816E-2
8.371478750E-1,1.496674218E-2,2.225278515E-2,-1.593950987E-3,2.686504231E-2
8.471298750E-1,1.149828577E-2,1.182770214E-2,6.638343930E-3,1.778124641E-2
8.571108750E-1,1.226334483E-2,1.403049446E-2,-2.913784504E-2,3.458696886E-2
8.670928750E-1,2.263095839E-2,1.372579970E-2,-1.297146320E-2,2.947569699E-2
8.770738750E-1,1.016517999E-2,1.420040632E-2,2.310234904E-2,2.896033417E-2
8.870558750E-1,7.249015370E-3,3.916716292E-3,-1.521796346E-2,1.730535472E-2
8.970378750E-1,1.624449584E-2,6.724964948E-3,-2.539679646E-2,3.088860744E-2
9.070188750E-1,5.615191968E-3,8.083953797E-3,2.504830241E-2,2.691278773E-2
9.170008750E-1,7.404556446E-3,2.104463163E-3,1.996239424E-3,7.952433162E-3
9.269818750E-1,9.508486278E-3,3.946107686E-3,-4.186255574E-2,4.310982081E-2
9.369638750E-1,8.541632611E-3,5.274046906E-3,9.330986738E-3,1.370555989E-2
9.469458750E-1,2.765864623E-3,4.950513155E-3,1.531853557E-2,1.633447641E-2
