"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.334443637E1,-9.220825195E-2,1.492396545E-1,9.814041595E0,9.815609368E0
1.335441737E1,-8.517288208E-2,1.407073975E-1,9.804012451E0,9.805392044E0
1.336439838E1,-9.041198730E-2,1.393601990E-1,9.798324280E0,9.799732358E0
1.337437937E1,-9.595046997E-2,1.442999268E-1,9.813293152E0,9.814823047E0
1.338436037E1,-9.804611206E-2,1.435514832E-1,9.819280701E0,9.820819393E0
1.339434137E1,-8.472381592E-2,1.405577087E-1,9.809700623E0,9.811073382E0
1.340432337E1,-9.999206543E-2,1.353186035E-1,9.800419922E0,9.801864118E0
1.341430438E1,-9.400451660E-2,1.453477478E-1,9.795929260E0,9.797458491E0
1.342428537E1,-8.951385498E-2,1.398092651E-1,9.810149689E0,9.811554223E0
1.343426637E1,-9.101074219E-2,1.396595764E-1,9.795480194E0,9.796898488E0
1.344424737E1,-9.131011963E-2,1.448986816E-1,9.797426147E0,9.798923016E0
1.345422837E1,-9.056167603E-2,1.278341675E-1,9.815688171E0,9.816938284E0
1.346421037E1,-9.774673462E-2,1.459465027E-1,9.810598755E0,9.812171153E0
1.347419137E1,-9.909393311E-2,1.487905884E-1,9.805359650E0,9.806989146E0
1.348417237E1,-9.026229858E-2,1.333726501E-1,9.809850311E0,9.811172136E0
1.349415337E1,-8.951385498E-2,1.417552185E-1,9.799372101E0,9.800806132E0
1.350413437E1,-8.711883545E-2,1.495390320E-1,9.798923035E0,9.800451227E0
1.351411637E1,-9.041198730E-2,1.434017944E-1,9.796677704E0,9.798144336E0
1.352409737E1,-9.026229858E-2,1.453477478E-1,9.799222412E0,9.800715950E0
1.353407837E1,-8.696914673E-2,1.435514832E-1,9.804311829E0,9.805748370E0
1.354405937E1,-8.666976929E-2,1.432521057E-1,9.806108093E0,9.807537344E0
1.355404037E1,-8.786727905E-2,1.543290710E-1,9.813891907E0,9.815498585E0
1.356402138E1,-9.400451660E-2,1.465452576E-1,9.810748444E0,9.812293177E0
1.357400337E1,-9.699829102E-2,1.398092651E-1,9.807604980E0,9.809081035E0
1.358398438E1,-9.550140381E-2,1.417552185E-1,9.808503113E0,9.809992272E0
1.359396537E1,-9.325607300E-2,1.410067749E-1,9.797575836E0,9.799034232E0
1.360394637E1,-9.415420532E-2,1.493893433E-1,9.799072723E0,9.800663673E0
1.361392738E1,-9.415420532E-2,1.442999268E-1,9.803862762E0,9.805376716E0
1.362390837E1,-9.714797974E-2,1.408570862E-1,9.808802490E0,9.810294835E0
1.363389038E1,-8.771759033E-2,1.457968140E-1,9.802814941E0,9.804291502E0
1.364387137E1,-8.966354370E-2,1.516346741E-1,9.800719299E0,9.802302352E0
1.365385237E1,-8.771759033E-2,1.431024170E-1,9.826765137E0,9.828198499E0
1.366383338E1,-9.355545044E-2,1.426533508E-1,9.787397003E0,9.788883629E0
1.367381437E1,-1.032852173E-1,1.408570862E-1,9.816286926E0,9.817840780E0
1.368379638E1,-8.517288208E-2,1.511856079E-1,9.788594513E0,9.790132484E0
1.369377737E1,-9.265731812E-2,1.535806274E-1,9.808652802E0,9.810292665E0
1.370375837E1,-9.086105347E-2,1.350192261E-1,9.806108093E0,9.807458481E0
1.371373938E1,-9.101074219E-2,1.480421448E-1,9.798324280E0,9.799865209E0
1.372372037E1,-9.445358276E-2,1.386117554E-1,9.801018677E0,9.802453866E0
1.373370137E1,-9.175918579E-2,1.447489929E-1,9.808652802E0,9.810149938E0
1.374368337E1,-9.056167603E-2,1.426533508E-1,9.804012451E0,9.805468451E0
1.375366437E1,-9.355545044E-2,1.508862305E-1,9.813742218E0,9.815347961E0
1.376364538E1,-8.442443848E-2,1.438508606E-1,9.795330505E0,9.796750495E0
1.377362637E1,-9.385482788E-2,1.444496155E-1,9.794731750E0,9.796246449E0
1.378360737E1,-9.550140381E-2,1.339714050E-1,9.810898132E0,9.812277565E0
1.379358838E1,-8.996292114E-2,1.387614441E-1,9.805209961E0,9.806604430E0
1.380357037E1,-8.577163696E-2,1.390608215E-1,9.805359650E0,9.806720784E0
1.381355138E1,-9.160949707E-2,1.477427673E-1,9.802066498E0,9.803607900E0
1.382353237E1,-9.145980835E-2,1.511856079E-1,9.799671478E0,9.801264361E0
1.383351337E1,-9.610015869E-2,1.338217163E-1,9.798473969E0,9.799858958E0
1.384349438E1,-1.026864624E-1,1.511856079E-1,9.809251556E0,9.810953965E0
1.385347537E1,-9.400451660E-2,1.534309387E-1,9.809850311E0,9.811500448E0
1.386345738E1,-9.086105347E-2,1.360670471E-1,9.809251556E0,9.810615988E0
1.387343837E1,-8.996292114E-2,1.401086426E-1,9.798623657E0,9.800038231E0
1.388341937E1,-9.490264893E-2,1.477427673E-1,9.806407471E0,9.807979502E0
1.389340038E1,-9.131011963E-2,1.442999268E-1,9.814640350E0,9.816125774E0
1.390338137E1,-9.565109253E-2,1.440005493E-1,9.807006226E0,9.808529778E0
1.391336388E1,-9.879455566E-2,1.429527283E-1,9.807904358E0,9.809443600E0
1.392334487E1,-9.505233765E-2,1.377136230E-1,9.806407471E0,9.807835004E0
1.393332587E1,-9.340576172E-2,1.419049072E-1,9.815837860E0,9.817307907E0
1.394330688E1,-9.086105347E-2,1.471440125E-1,9.808203735E0,9.809728213E0
1.395328787E1,-9.475296021E-2,1.460961914E-1,9.808802490E0,9.810348032E0
1.396326887E1,-9.819580078E-2,1.434017944E-1,9.808652802E0,9.810192469E0
1.397325087E1,-9.864486694E-2,1.392105103E-1,9.800569611E0,9.802054635E0
1.398323187E1,-9.101074219E-2,1.472937012E-1,9.813442841E0,9.814970136E0
1.399321288E1,-9.310638428E-2,1.489402771E-1,9.807904358E0,9.809477045E0
1.400319387E1,-8.741821289E-2,1.490899658E-1,9.812395020E0,9.813916944E0
1.401317487E1,-9.220825195E-2,1.431024170E-1,9.809850311E0,9.811327321E0
1.402315587E1,-9.340576172E-2,1.383123779E-1,9.802515564E0,9.803936267E0
1.403313787E1,-9.789642334E-2,1.487905884E-1,9.811197510E0,9.812814017E0
1.404311888E1,-1.010398865E-1,1.435514832E-1,9.807006226E0,9.808577226E0
1.405309987E1,-8.756790161E-2,1.399589539E-1,9.812993774E0,9.814382480E0
1.406308087E1,-8.637039185E-2,1.414558411E-1,9.806856537E0,9.808256967E0
1.407306187E1,-8.861572266E-2,1.445993042E-1,9.801767120E0,9.803234180E0
1.408304387E1,-9.101074219E-2,1.411564636E-1,9.804760895E0,9.806199279E0
1.409302487E1,-9.340576172E-2,1.442999268E-1,9.803114319E0,9.804621229E0
1.410300587E1,-9.220825195E-2,1.454974365E-1,9.802665253E0,9.804178595E0
1.411298687E1,-8.771759033E-2,1.360670471E-1,9.810898132E0,9.812233730E0
1.412296787E1,-8.696914673E-2,1.351689148E-1,9.810748444E0,9.812064986E0
1.413294887E1,-8.337661743E-2,1.375639343E-1,9.806108093E0,9.807427361E0
1.414293087E1,-9.370513916E-2,1.416055298E-1,9.806257782E0,9.807727793E0
1.415291187E1,-9.101074219E-2,1.407073975E-1,9.808503113E0,9.809934497E0
1.416289287E1,-9.460327148E-2,1.453477478E-1,9.801916809E0,9.803450866E0
1.417287387E1,-9.280700684E-2,1.353186035E-1,9.803862762E0,9.805235812E0
1.418285487E1,-9.131011963E-2,1.393601990E-1,9.812694397E0,9.814108728E0
1.419283588E1,-9.400451660E-2,1.378633118E-1,9.812245331E0,9.813664024E0
1.420281787E1,-9.265731812E-2,1.417552185E-1,9.805808716E0,9.807271001E0
1.421279887E1,-9.026229858E-2,1.425036621E-1,9.802814941E0,9.804266181E0
1.422277987E1,-9.131011963E-2,1.469943237E-1,9.805060272E0,9.806587164E0
1.423276087E1,-9.145980835E-2,1.417552185E-1,9.809251556E0,9.810702092E0
1.424274188E1,-8.906478882E-2,1.411564636E-1,9.796677704E0,9.798099393E0
1.425272287E1,-8.741821289E-2,1.416055298E-1,9.795330505E0,9.796744040E0
1.426270488E1,-9.894424438E-2,1.447489929E-1,9.817783813E0,9.819349329E0
1.427268587E1,-9.131011963E-2,1.396595764E-1,9.805509338E0,9.806928965E0
1.428266687E1,-9.415420532E-2,1.410067749E-1,9.806407471E0,9.807873134E0
1.429264788E1,-9.415420532E-2,1.407073975E-1,9.809850311E0,9.811311162E0
1.430262887E1,-9.056167603E-2,1.501377869E-1,9.801318054E0,9.802886227E0
1.431261088E1,-9.490264893E-2,1.451980591E-1,9.810898132E0,9.812431460E0
1.432259187E1,-9.654922485E-2,1.401086426E-1,9.808054047E0,9.809529875E0
1.433257287E1,-8.726852417E-2,1.505868530E-1,9.802216187E0,9.803761236E0
1.434255388E1,-1.037342834E-1,1.510359192E-1,9.812544708E0,9.814255260E0
1.435253487E1,-7.409591675E-2,1.263372803E-1,9.823172607E0,9.824264420E0
1.436251587E1,-1.017883301E-1,1.408570862E-1,9.800419922E0,9.801960632E0
1.437249787E1,-8.831634521E-2,1.404080200E-1,9.824669495E0,9.826069655E0
1.438247887E1,-9.894424438E-2,1.386117554E-1,9.798623657E0,9.800103508E0
1.439245988E1,-9.026229858E-2,1.441502380E-1,9.819131012E0,9.820603872E0
1.440244087E1,-1.062789917E-1,1.342707825E-1,9.795929260E0,9.797425883E0
1.441242187E1,-8.831634521E-2,1.493893433E-1,9.809550934E0,9.811085897E0
1.442240288E1,-9.699829102E-2,1.374142456E-1,9.803413696E0,9.804856523E0
1.443238487E1,-9.026229858E-2,1.484912109E-1,9.814191284E0,9.815729595E0
1.444236588E1,-8.382568359E-2,1.374142456E-1,9.794282684E0,9.795605276E0
1.445234687E1,-9.550140381E-2,1.416055298E-1,9.808952179E0,9.810439108E0
1.446232787E1,-8.846603394E-2,1.434017944E-1,9.806108093E0,9.807555570E0
1.447230888E1,-9.580078125E-2,1.468446350E-1,9.802066498E0,9.803634467E0
1.448228987E1,-9.355545044E-2,1.393601990E-1,9.802365875E0,9.803802866E0
1.449227188E1,-9.879455566E-2,1.408570862E-1,9.801168365E0,9.802678328E0
1.450225287E1,-9.160949707E-2,1.404080200E-1,9.806108093E0,9.807541111E0
1.451223387E1,-9.565109253E-2,1.447489929E-1,9.807904358E0,9.809438786E0
1.452221488E1,-9.684860229E-2,1.419049072E-1,9.805060272E0,9.806565331E0
1.453219587E1,-9.999206543E-2,1.401086426E-1,9.794282684E0,9.795795126E0
1.454217788E1,-9.265731812E-2,1.389111328E-1,9.806557159E0,9.807978640E0
1.455215887E1,-9.475296021E-2,1.462458801E-1,9.794731750E0,9.796281746E0
1.456213987E1,-9.340576172E-2,1.419049072E-1,9.794731750E0,9.796204964E0
1.457212088E1,-8.666976929E-2,1.410067749E-1,9.803862762E0,9.805259794E0
1.458210187E1,-9.265731812E-2,1.541793823E-1,9.804461517E0,9.806111477E0
1.459208287E1,-9.340576172E-2,1.475930786E-1,9.802515564E0,9.804071590E0
1.460206487E1,-9.475296021E-2,1.429527283E-1,9.802365875E0,9.803866092E0
1.461204587E1,-9.295669556E-2,1.444496155E-1,9.809251556E0,9.810755462E0
1.462202688E1,-9.056167603E-2,1.454974365E-1,9.811796265E0,9.813292865E0
1.463200787E1,-9.460327148E-2,1.534309387E-1,9.808503113E0,9.810159231E0
1.464198887E1,-9.235794067E-2,1.413061523E-1,9.811496887E0,9.812949026E0
1.465196988E1,-9.205856323E-2,1.408570862E-1,9.802814941E0,9.804259088E0
1.466195187E1,-8.622070312E-2,1.484912109E-1,9.804910583E0,9.806413983E0
1.467193288E1,-9.265731812E-2,1.413061523E-1,9.808353424E0,9.809808851E0
1.468191387E1,-9.460327148E-2,1.354682922E-1,9.808802490E0,9.810194072E0
1.469189487E1,-9.475296021E-2,1.363664246E-1,9.812245331E0,9.813650307E0
1.470187588E1,-9.624984741E-2,1.336720276E-1,9.812993774E0,9.814376142E0
1.471185787E1,-9.220825195E-2,1.462458801E-1,9.809850311E0,9.811373673E0
1.472183888E1,-8.891510010E-2,1.425036621E-1,9.805209961E0,9.806648539E0
1.473181987E1,-8.921447754E-2,1.315763855E-1,9.804162140E0,9.805450874E0
1.474180087E1,-9.086105347E-2,1.371148682E-1,9.802814941E0,9.804194867E0
1.475178188E1,-8.891510010E-2,1.474433899E-1,9.812395020E0,9.813905516E0
1.476176287E1,-9.804611206E-2,1.380130005E-1,9.802814941E0,9.804276689E0
1.477174488E1,-9.849517822E-2,1.392105103E-1,9.812095642E0,9.813577419E0
1.478172587E1,-9.445358276E-2,1.431024170E-1,9.802216187E0,9.803715722E0
1.479170687E1,-8.262817383E-2,1.407073975E-1,9.801168365E0,9.802526578E0
1.480168788E1,-9.235794067E-2,1.457968140E-1,9.795779572E0,9.797299838E0
1.481166887E1,-9.145980835E-2,1.471440125E-1,9.800419922E0,9.801951178E0
1.482164987E1,-1.013392639E-1,1.435514832E-1,9.797276459E0,9.798852111E0
1.483163187E1,-9.445358276E-2,1.357676697E-1,9.807904358E0,9.809298764E0
1.484161287E1,-9.190887451E-2,1.417552185E-1,9.810299377E0,9.811753954E0
1.485159388E1,-1.014889526E-1,1.472937012E-1,9.797426147E0,9.799058861E0
1.486157487E1,-9.475296021E-2,1.432521057E-1,9.807305603E0,9.808809432E0
1.487155587E1,-8.307723999E-2,1.383123779E-1,9.797875214E0,9.799203582E0
1.488153787E1,-8.083190918E-2,1.441502380E-1,9.811197510E0,9.812589346E0
1.489151887E1,-9.026229858E-2,1.410067749E-1,9.803114319E0,9.804543872E0
1.490149988E1,-9.819580078E-2,1.371148682E-1,9.803264008E0,9.804714586E0
1.491148125E1,-9.460327148E-2,1.384620667E-1,9.807904358E0,9.809337868E0
1.492146225E1,-9.415420532E-2,1.389111328E-1,9.807155914E0,9.808591563E0
1.493144325E1,-8.681945801E-2,1.468446350E-1,9.799072723E0,9.800557495E0
1.494142525E1,-9.999206543E-2,1.408570862E-1,9.804611206E0,9.806132777E0
1.495140625E1,-9.595046997E-2,1.350192261E-1,9.808503113E0,9.809901630E0
1.496138725E1,-1.001417542E-1,1.420545959E-1,9.815239105E0,9.816777810E0
1.497136825E1,-9.415420532E-2,1.459465027E-1,9.800419922E0,9.801958786E0
1.498134925E1,-8.801696777E-2,1.451980591E-1,9.797575836E0,9.799046981E0
1.499133025E1,-9.101074219E-2,1.347198486E-1,9.801617432E0,9.802965708E0
1.500131225E1,-9.520202637E-2,1.405577087E-1,9.814340973E0,9.815809117E0
1.501129325E1,-9.490264893E-2,1.371148682E-1,9.806257782E0,9.807675499E0
1.502127425E1,-8.816665649E-2,1.329235840E-1,9.797575836E0,9.798874135E0
1.503125525E1,-9.265731812E-2,1.386117554E-1,9.799671478E0,9.801089719E0
1.504123625E1,-8.666976929E-2,1.402583313E-1,9.809401245E0,9.810786759E0
1.505121825E1,-9.325607300E-2,1.484912109E-1,9.797575836E0,9.799144789E0
1.506119925E1,-9.969268799E-2,1.448986816E-1,9.810299377E0,9.811875872E0
1.507118025E1,-9.669891357E-2,1.471440125E-1,9.810000000E0,9.811579997E0
1.508116125E1,-9.684860229E-2,1.371148682E-1,9.806257782E0,9.807694521E0
1.509114225E1,-1.070274353E-1,1.258882141E-1,9.797575836E0,9.798969077E0
1.510112325E1,-8.562194824E-2,1.830693054E-1,9.798623657E0,9.800707682E0
1.511110525E1,-7.619155884E-2,1.517843628E-1,9.803563385E0,9.805034354E0
1.512108625E1,-1.019380188E-1,1.276844788E-1,9.805808716E0,9.807169788E0
1.513106725E1,-9.011260986E-2,1.468446350E-1,9.797725525E0,9.799240230E0
1.514104825E1,-8.607101440E-2,1.366658020E-1,9.802216187E0,9.803546701E0
1.515102925E1,-1.004411316E-1,1.514849854E-1,9.818532257E0,9.820214448E0
1.516101025E1,-8.397537231E-2,1.483415222E-1,9.789642334E0,9.791126294E0
1.517099225E1,-9.924362183E-2,1.416055298E-1,9.792935486E0,9.794462050E0
1.518097325E1,-9.385482788E-2,1.408570862E-1,9.803114319E0,9.804575452E0
1.519095425E1,-9.834548950E-2,1.422042847E-1,9.793234863E0,9.794760997E0
1.520093525E1,-9.505233765E-2,1.432521057E-1,9.801916809E0,9.803424363E0
1.521091625E1,-8.846603394E-2,1.438508606E-1,9.795480194E0,9.796935824E0
1.522089825E1,-9.071136475E-2,1.448986816E-1,9.798024902E0,9.799516119E0
1.523087925E1,-9.041198730E-2,1.450483704E-1,9.798024902E0,9.799515567E0
1.524086025E1,-8.771759033E-2,1.520837402E-1,9.799521790E0,9.801094385E0
1.525084125E1,-9.310638428E-2,1.490899658E-1,9.797875214E0,9.799451787E0
1.526082225E1,-8.831634521E-2,1.465452576E-1,9.811796265E0,9.813287993E0
1.527080325E1,-9.415420532E-2,1.442999268E-1,9.794881439E0,9.796396781E0
1.528078525E1,-8.532257080E-2,1.422042847E-1,9.800868988E0,9.802271926E0
1.529076625E1,-8.532257080E-2,1.383123779E-1,9.797875214E0,9.799222875E0
1.530074725E1,-8.696914673E-2,1.369651794E-1,9.798473969E0,9.799817101E0
1.531072825E1,-8.741821289E-2,1.468446350E-1,9.799521790E0,9.801011815E0
1.532070925E1,-9.175918579E-2,1.484912109E-1,9.805209961E0,9.806763572E0
1.533069025E1,-9.145980835E-2,1.428030396E-1,9.804311829E0,9.805778298E0
1.534067225E1,-9.295669556E-2,1.371148682E-1,9.804162140E0,9.805561519E0
1.535065325E1,-9.669891357E-2,1.395098877E-1,9.809401245E0,9.810869812E0
1.536063425E1,-9.430389404E-2,1.496887207E-1,9.809700623E0,9.811295849E0
1.537061525E1,-9.595046997E-2,1.347198486E-1,9.806557159E0,9.807951838E0
1.538059625E1,-9.460327148E-2,1.414558411E-1,9.811796265E0,9.813271905E0
1.539057825E1,-9.520202637E-2,1.463955688E-1,9.805509338E0,9.807064213E0
1.540055925E1,-8.756790161E-2,1.519340515E-1,9.796528015E0,9.798097430E0
1.541054025E1,-9.041198730E-2,1.459465027E-1,9.814340973E0,9.815842472E0
1.542052125E1,-8.861572266E-2,1.429527283E-1,9.807604980E0,9.809047032E0
1.543050225E1,-9.086105347E-2,1.442999268E-1,9.803264008E0,9.804746983E0
1.544048325E1,-9.550140381E-2,1.356179810E-1,9.806257782E0,9.807660498E0
1.545046525E1,-9.624984741E-2,1.407073975E-1,9.819131012E0,9.820610797E0
1.546044625E1,-9.385482788E-2,1.429527283E-1,9.803862762E0,9.805354113E0
1.547042725E1,-9.445358276E-2,1.426533508E-1,9.801318054E0,9.802811181E0
1.548040825E1,-9.295669556E-2,1.422042847E-1,9.816436615E0,9.817906642E0
1.549038925E1,-8.921447754E-2,1.466949463E-1,9.808802490E0,9.810305037E0
1.550037025E1,-9.475296021E-2,1.553768921E-1,9.807754669E0,9.809442989E0
1.551035225E1,-8.307723999E-2,1.483415222E-1,9.807455292E0,9.808928909E0
1.552033325E1,-8.577163696E-2,1.416055298E-1,9.810000000E0,9.811396888E0
1.553031425E1,-9.415420532E-2,1.451980591E-1,9.807155914E0,9.808682614E0
1.554029525E1,-9.011260986E-2,1.413061523E-1,9.800270233E0,9.801703135E0
1.555027625E1,-9.280700684E-2,1.492396545E-1,9.808054047E0,9.809628423E0
1.556025825E1,-9.265731812E-2,1.332229614E-1,9.807305603E0,9.808648068E0
1.557023925E1,-9.310638428E-2,1.474433899E-1,9.815987549E0,9.817536346E0
1.558022025E1,-9.774673462E-2,1.456471252E-1,9.811496887E0,9.813064693E0
1.559020125E1,-9.220825195E-2,1.407073975E-1,9.802216187E0,9.803659679E0
1.560018225E1,-9.160949707E-2,1.392105103E-1,9.807006226E0,9.808422043E0
1.561016325E1,-8.876541138E-2,1.381626892E-1,9.802814941E0,9.804190380E0
1.562014525E1,-9.265731812E-2,1.459465027E-1,9.786947937E0,9.788474635E0
1.563012625E1,-9.026229858E-2,1.359173584E-1,9.810598755E0,9.811955398E0
1.564010725E1,-9.699829102E-2,1.420545959E-1,9.799970856E0,9.801480345E0
1.565008825E1,-9.280700684E-2,1.381626892E-1,9.806856537E0,9.808268818E0
1.566006925E1,-9.744735718E-2,1.450483704E-1,9.805958405E0,9.807515243E0
1.567005025E1,-9.804611206E-2,1.474433899E-1,9.806108093E0,9.807706589E0
1.568003225E1,-9.580078125E-2,1.416055298E-1,9.804012451E0,9.805503050E0
1.569001325E1,-9.804611206E-2,1.365161133E-1,9.808054047E0,9.809494068E0
1.569999425E1,-1.020877075E-1,1.444496155E-1,9.807305603E0,9.808900590E0
1.570997525E1,-9.460327148E-2,1.480421448E-1,9.800868988E0,9.802443531E0
1.571995625E1,-9.520202637E-2,1.496887207E-1,9.807455292E0,9.809059559E0
1.572993825E1,-9.086105347E-2,1.472937012E-1,9.812095642E0,9.813621760E0
1.573991925E1,-9.190887451E-2,1.381626892E-1,9.803563385E0,9.804967680E0
1.574990025E1,-9.175918579E-2,1.426533508E-1,9.805060272E0,9.806527248E0
1.575988125E1,-8.906478882E-2,1.342707825E-1,9.810149689E0,9.811472779E0
1.576986225E1,-8.741821289E-2,1.422042847E-1,9.801318054E0,9.802739393E0
1.577984325E1,-9.175918579E-2,1.513352966E-1,9.809850311E0,9.811446644E0
1.578982525E1,-9.550140381E-2,1.510359192E-1,9.807006226E0,9.808634129E0
1.579980625E1,-9.804611206E-2,1.411564636E-1,9.808203735E0,9.809709410E0
1.580978725E1,-9.370513916E-2,1.338217163E-1,9.808952179E0,9.810312521E0
1.581976825E1,-9.295669556E-2,1.474433899E-1,9.806706848E0,9.808255691E0
1.582974925E1,-8.996292114E-2,1.383123779E-1,9.808802490E0,9.810190107E0
1.583973025E1,-1.026864624E-1,1.363664246E-1,9.791588287E0,9.793076202E0
1.584971225E1,-9.744735718E-2,1.402583313E-1,9.795480194E0,9.796968951E0
1.585969325E1,-9.325607300E-2,1.407073975E-1,9.796977081E0,9.798431262E0
1.586967425E1,-9.939331055E-2,1.411564636E-1,9.805060272E0,9.806579991E0
1.587965525E1,-9.460327148E-2,1.466949463E-1,9.809101868E0,9.810654853E0
1.588963625E1,-8.951385498E-2,1.441502380E-1,9.801767120E0,9.803235726E0
1.589961825E1,-9.056167603E-2,1.353186035E-1,9.809101868E0,9.810453200E0
1.590959879E1,-9.490264893E-2,1.354682922E-1,9.799521790E0,9.800917583E0
1.591959379E1,-9.385482788E-2,1.453477478E-1,9.800569611E0,9.802096683E0
1.592961479E1,-9.131011963E-2,1.472937012E-1,9.807305603E0,9.808836637E0
1.593963479E1,-8.607101440E-2,1.531315613E-1,9.803264008E0,9.804837719E0
1.594965579E1,-9.026229858E-2,1.463955688E-1,9.805659027E0,9.807167170E0
1.595967679E1,-8.427474976E-2,1.380130005E-1,9.806407471E0,9.807740683E0
1.596969679E1,-9.265731812E-2,1.407073975E-1,9.806706848E0,9.808153912E0
1.597971679E1,-9.160949707E-2,1.471440125E-1,9.805060272E0,9.806592201E0
1.598973779E1,-8.801696777E-2,1.450483704E-1,9.810000000E0,9.811467067E0
1.599975879E1,-8.607101440E-2,1.423539734E-1,9.805808716E0,9.807219659E0
1.600977879E1,-9.086105347E-2,1.414558411E-1,9.806557159E0,9.807998206E0
1.601979979E1,-9.295669556E-2,1.444496155E-1,9.799671478E0,9.801176854E0
1.602982079E1,-9.175918579E-2,1.472937012E-1,9.801916809E0,9.803452877E0
1.603984279E1,-9.175918579E-2,1.420545959E-1,9.802515564E0,9.803974227E0
1.604986279E1,-8.307723999E-2,1.453477478E-1,9.814041595E0,9.815469435E0
1.605988379E1,-8.786727905E-2,1.445993042E-1,9.808054047E0,9.809513433E0
1.606990479E1,-8.936416626E-2,1.356179810E-1,9.801617432E0,9.802962943E0
1.607992479E1,-9.580078125E-2,1.342707825E-1,9.806108093E0,9.807495214E0
1.608994579E1,-9.415420532E-2,1.413061523E-1,9.793983307E0,9.795455143E0
1.609996679E1,-9.669891357E-2,1.471440125E-1,9.804760895E0,9.806341736E0
1.610998679E1,-8.891510010E-2,1.431024170E-1,9.795031128E0,9.796479929E0
1.612000879E1,-8.876541138E-2,1.445993042E-1,9.799521790E0,9.800990540E0
1.613002979E1,-9.595046997E-2,1.442999268E-1,9.811047821E0,9.812578066E0
1.614005079E1,-8.681945801E-2,1.377136230E-1,9.812844086E0,9.814194399E0
1.615007179E1,-9.400451660E-2,1.413061523E-1,9.797276459E0,9.798746363E0
1.616009279E1,-9.175918579E-2,1.454974365E-1,9.811796265E0,9.813303990E0
1.617011379E1,-9.295669556E-2,1.457968140E-1,9.803563385E0,9.805088103E0
1.618013479E1,-9.026229858E-2,1.410067749E-1,9.799521790E0,9.800951867E0
1.619015579E1,-9.580078125E-2,1.463955688E-1,9.801318054E0,9.802879427E0
1.620017679E1,-9.654922485E-2,1.410067749E-1,9.809850311E0,9.811338736E0
1.621019779E1,-8.622070312E-2,1.487905884E-1,9.796677704E0,9.798186908E0
1.622021879E1,-9.370513916E-2,1.478924561E-1,9.803264008E0,9.804827282E0
1.623024079E1,-9.385482788E-2,1.416055298E-1,9.811646576E0,9.813117210E0
1.624026179E1,-9.310638428E-2,1.442999268E-1,9.815837860E0,9.817339974E0
1.625028379E1,-8.173004150E-2,1.413061523E-1,9.798773346E0,9.800132974E0
1.626030579E1,-9.235794067E-2,1.372645569E-1,9.809550934E0,9.810945982E0
1.627032679E1,-1.175056458E-1,1.299298096E-1,9.803264008E0,9.804829144E0
1.628034879E1,-8.202941895E-2,1.589694214E-1,9.810000000E0,9.811630858E0
1.629037079E1,-6.706054688E-2,1.556762695E-1,9.791139221E0,9.792606367E0
1.630039179E1,-1.071771240E-1,1.444496155E-1,9.818831635E0,9.820478975E0
1.631041379E1,-8.187973022E-2,1.453477478E-1,9.807155914E0,9.808574687E0
1.632043479E1,-8.681945801E-2,1.567240906E-1,9.793534241E0,9.795172943E0
1.633045679E1,-9.295669556E-2,1.447489929E-1,9.808802490E0,9.810310877E0
1.634047779E1,-8.906478882E-2,1.510359192E-1,9.803264008E0,9.804831951E0
1.635049879E1,-8.367599487E-2,1.411564636E-1,9.790241089E0,9.791616179E0
1.636051979E1,-9.939331055E-2,1.395098877E-1,9.810149689E0,9.811645069E0
1.637054079E1,-8.517288208E-2,1.496887207E-1,9.803114319E0,9.804627044E0
1.638056179E1,-9.535171509E-2,1.434017944E-1,9.803264008E0,9.804776450E0
1.639058179E1,-9.175918579E-2,1.396595764E-1,9.804760895E0,9.806184821E0
1.640060279E1,-9.086105347E-2,1.475930786E-1,9.794881439E0,9.796414745E0
1.641062379E1,-1.010398865E-1,1.407073975E-1,9.803413696E0,9.804944045E0
1.642064479E1,-9.385482788E-2,1.538800049E-1,9.801767120E0,9.803424221E0
1.643066579E1,-9.220825195E-2,1.531315613E-1,9.797276459E0,9.798906962E0
1.644068679E1,-8.801696777E-2,1.513352966E-1,9.800868988E0,9.802432467E0
1.645070679E1,-8.891510010E-2,1.526824951E-1,9.798174591E0,9.799767505E0
1.646072779E1,-8.681945801E-2,1.404080200E-1,9.799521790E0,9.800912168E0
1.647074779E1,-9.145980835E-2,1.448986816E-1,9.809550934E0,9.811047347E0
1.648076879E1,-9.071136475E-2,1.444496155E-1,9.807155914E0,9.808639119E0
1.649078879E1,-9.400451660E-2,1.440005493E-1,9.801617432E0,9.803125893E0
1.650080979E1,-9.011260986E-2,1.416055298E-1,9.813742218E0,9.815177468E0
1.651083079E1,-9.280700684E-2,1.434017944E-1,9.798473969E0,9.799962721E0
1.652085179E1,-8.756790161E-2,1.423539734E-1,9.795779572E0,9.797205224E0
1.653087279E1,-9.385482788E-2,1.448986816E-1,9.797426147E0,9.798947059E0
1.654089279E1,-8.622070312E-2,1.383123779E-1,9.807904358E0,9.809258495E0
1.655091379E1,-8.696914673E-2,1.422042847E-1,9.798623657E0,9.800041391E0
1.656093579E1,-8.921447754E-2,1.499880981E-1,9.805060272E0,9.806613207E0
1.657095579E1,-8.966354370E-2,1.440005493E-1,9.810299377E0,9.811765875E0
