"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.082422500E-1,-9.610015869E-2,1.357676697E-1,9.809550934E0,9.810961096E0
7.182232500E-1,-9.624984741E-2,1.320254517E-1,9.814790039E0,9.816149870E0
7.282052500E-1,-9.116043091E-2,1.384620667E-1,9.796078949E0,9.797481551E0
7.381862500E-1,-9.610015869E-2,1.365161133E-1,9.804012451E0,9.805433801E0
7.481672500E-1,-9.924362183E-2,1.399589539E-1,9.807904358E0,9.809404962E0
7.581482500E-1,-9.699829102E-2,1.357676697E-1,9.799821167E0,9.801241576E0
7.681292500E-1,-9.415420532E-2,1.366658020E-1,9.802216187E0,9.803621001E0
7.781112500E-1,-1.016386414E-1,1.486408997E-1,9.807904358E0,9.809557198E0
7.880922500E-1,-9.235794067E-2,1.445993042E-1,9.802964630E0,9.804466048E0
7.980732500E-1,-9.565109253E-2,1.333726501E-1,9.805958405E0,9.807331830E0
8.080542500E-1,-1.013392639E-1,1.426533508E-1,9.807305603E0,9.808866541E0
8.180362500E-1,-9.535171509E-2,1.431024170E-1,9.808952179E0,9.810459373E0
8.280172500E-1,-9.235794067E-2,1.365161133E-1,9.813442841E0,9.814826897E0
8.379982500E-1,-9.340576172E-2,1.434017944E-1,9.811945953E0,9.813438343E0
8.479792500E-1,-9.624984741E-2,1.440005493E-1,9.806257782E0,9.807787308E0
8.579602500E-1,-9.759704590E-2,1.392105103E-1,9.808952179E0,9.810425455E0
8.679422500E-1,-1.014889526E-1,1.306782532E-1,9.811347198E0,9.812742260E0
8.779232500E-1,-9.325607300E-2,1.351689148E-1,9.815688171E0,9.817061760E0
8.879042500E-1,-9.909393311E-2,1.326242065E-1,9.816885681E0,9.818281584E0
8.978814167E-1,-9.879455566E-2,1.408570862E-1,9.814340973E0,9.815848910E0
9.078634167E-1,-9.774673462E-2,1.396595764E-1,9.817035370E0,9.818515299E0
9.178444167E-1,-9.011260986E-2,1.392105103E-1,9.811646576E0,9.813047864E0
9.278254167E-1,-1.038839722E-1,1.423539734E-1,9.808802490E0,9.810385458E0
9.378064167E-1,-1.046324158E-1,1.354682922E-1,9.812993774E0,9.814486559E0
9.477874167E-1,-1.035845947E-1,1.362167358E-1,9.818681946E0,9.820173110E0
9.577694167E-1,-9.774673462E-2,1.332229614E-1,9.810449066E0,9.811840483E0
9.677504167E-1,-1.005908203E-1,1.451980591E-1,9.796078949E0,9.797671344E0
9.777314167E-1,-1.010398865E-1,1.499880981E-1,9.806257782E0,9.807925223E0
9.877124167E-1,-9.340576172E-2,1.363664246E-1,9.819729767E0,9.821120768E0
9.976944167E-1,-9.295669556E-2,1.369651794E-1,9.806856537E0,9.808253440E0
1.007675417E0,-9.804611206E-2,1.435514832E-1,9.806407471E0,9.807948182E0
1.017656417E0,-9.894424438E-2,1.413061523E-1,9.797126770E0,9.798645332E0
1.027637417E0,-1.004411316E-1,1.387614441E-1,9.804162140E0,9.805658490E0
1.037618417E0,-1.040336609E-1,1.454974365E-1,9.803413696E0,9.805045263E0
1.047600417E0,-9.370513916E-2,1.448986816E-1,9.806108093E0,9.807626227E0
1.057581417E0,-9.924362183E-2,1.445993042E-1,9.801018677E0,9.802587687E0
1.067562417E0,-9.565109253E-2,1.374142456E-1,9.804311829E0,9.805741290E0
1.077543417E0,-9.385482788E-2,1.407073975E-1,9.806557159E0,9.808015631E0
1.087524417E0,-1.002914429E-1,1.326242065E-1,9.799821167E0,9.801231681E0
1.097506417E0,-1.020877075E-1,1.447489929E-1,9.803114319E0,9.804714403E0
1.107487417E0,-9.654922485E-2,1.353186035E-1,9.812993774E0,9.814401647E0
1.117468417E0,-9.624984741E-2,1.381626892E-1,9.813742218E0,9.815186666E0
1.127449417E0,-9.505233765E-2,1.489402771E-1,9.807754669E0,9.809346044E0
1.137431417E0,-1.004411316E-1,1.338217163E-1,9.801467743E0,9.802895827E0
1.147412417E0,-9.654922485E-2,1.362167358E-1,9.802515564E0,9.803937379E0
1.157393417E0,-9.729766846E-2,1.381626892E-1,9.799671478E0,9.801128346E0
1.167374417E0,-1.022373962E-1,1.341210938E-1,9.812095642E0,9.813544815E0
1.177356417E0,-9.654922485E-2,1.432521057E-1,9.805209961E0,9.806731632E0
1.187337417E0,-1.047821045E-1,1.320254517E-1,9.803563385E0,9.805012241E0
1.197318417E0,-1.041833496E-1,1.468446350E-1,9.811945953E0,9.813597756E0
1.207299417E0,-9.400451660E-2,1.345701599E-1,9.810149689E0,9.811522965E0
1.217280417E0,-9.355545044E-2,1.351689148E-1,9.816286926E0,9.817663280E0
1.227262417E0,-9.954299927E-2,1.445993042E-1,9.806856537E0,9.808427647E0
1.237243417E0,-9.849517822E-2,1.395098877E-1,9.801767120E0,9.803254714E0
1.247224417E0,-1.055305481E-1,1.360670471E-1,9.806706848E0,9.808218500E0
1.257205417E0,-9.595046997E-2,1.359173584E-1,9.814790039E0,9.816200056E0
1.267186417E0,-9.684860229E-2,1.447489929E-1,9.812993774E0,9.814539151E0
1.277168417E0,-9.490264893E-2,1.416055298E-1,9.815688171E0,9.817168274E0
1.287149417E0,-9.430389404E-2,1.426533508E-1,9.810449066E0,9.811939364E0
