"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.712781264184415E9,"2024-04-10 17:34:24.184 UTC-03:00"
"PAUSE",5.214796458333149E1,1.712781316332571E9,"2024-04-10 17:35:16.333 UTC-03:00"
